strategy_control,policy_name,control_type,n_days,start_date,end_date,total_return,annual_return,annual_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,hit_rate,avg_daily_return,daily_volatility,worst_daily_return,best_daily_return,final_equity
AURORA cash cap 20%,AURORA17_CASH_CAP_20,cash_cap_sensitivity,319,2024-11-27,2026-03-25,0.48555740761120214,0.36705903220342706,0.19707820442039783,1.685898814714093,2.176414159148311,-0.2249700042749897,1.6315909909249784,0.567398119122257,0.0013184679017394063,0.012414759945893403,-0.07992613246222706,0.0797588998946391,1.4855574076112021
AURORA cash cap 40%,AURORA17_CASH_CAP_40,cash_cap_sensitivity,319,2024-11-27,2026-03-25,0.35947397189225816,0.2745557242979533,0.14957139390189544,1.6973690884641794,2.215429043629174,-0.17215826229821374,1.5947868004288168,0.567398119122257,0.0010074518274903847,0.009422112178897575,-0.059943216238854735,0.059819594425818946,1.3594739718922582
AURORA cash cap 60%,AURORA17_CASH_CAP_60,cash_cap_sensitivity,319,2024-11-27,2026-03-25,0.24322825817849147,0.18766026205292263,0.10372989778390321,1.7102868173400005,2.277956251675714,-0.11678757250401262,1.6068512944429507,0.567398119122257,0.0007039995108882357,0.0065343693585323305,-0.03995992271538621,0.039879797258058076,1.2432282581784915
AURORA cash cap 80%,AURORA17_CASH_CAP_80,cash_cap_sensitivity,319,2024-11-27,2026-03-25,0.1288354408161898,0.10046580607397426,0.06510488468022756,1.5031437383664672,2.014131305135584,-0.06871189042244674,1.4621313058962817,0.5642633228840125,0.0003883412688260118,0.004101222238081453,-0.01997765555013921,0.021277658067412764,1.1288354408161898
Uniform-probability AURORA,AURORA17_UNIFORM_PROBABILITY,no_forecast_probability_control,319,2024-11-27,2026-03-25,0.23897448416699474,0.18444895479365742,0.10280149832575208,1.6984514253103242,2.249144082080932,-0.11662966411719855,1.5814926347409246,0.567398119122257,0.0006928704418865498,0.006475885689875307,-0.03995950394818184,0.03987866582433222,1.2389744841669947
Class-prior-probability AURORA,AURORA17_CLASS_PRIOR_PROBABILITY,no_forecast_probability_control,319,2024-11-27,2026-03-25,0.24274380651058758,0.18729465089576514,0.10361380487990078,1.7091141788724546,2.275067000178625,-0.1167505710006077,1.6042289925484838,0.567398119122257,0.0007027294565363584,0.006527056192985432,-0.039959863713788485,0.03987966392846235,1.2427438065105876
No-probability mean-variance AURORA,AURORA17_NO_PROBABILITY_MEAN_VARIANCE,no_probability_mean_variance_control,319,2024-11-27,2026-03-25,0.21295908635649363,0.1647583480593433,0.13519266730968826,1.1959599880708582,1.4482896799409521,-0.18146427199762205,0.9079382197146904,0.5642633228840125,0.0006416072253292153,0.008516337542403017,-0.05962578508081652,0.05950477601542933,1.2129590863564936
Static 40% equity / 60% cash,STATIC_40_EQUITY_60_CASH,static_etf_cash_baseline,319,2024-11-27,2026-03-25,0.2366790030055037,0.18271506244205216,0.09979588448300308,1.731902699827698,2.2365050510958824,-0.11982236989327855,1.5248827293667273,0.5642633228840125,0.0006858601657452623,0.006286549814517996,-0.03996883043123512,0.039881773608670845,1.2366790030055037
Static 50% equity / 50% cash,STATIC_50_EQUITY_50_CASH,static_etf_cash_baseline,319,2024-11-27,2026-03-25,0.3015402129182234,0.23145319177821544,0.1247448556037538,1.7319026998276987,2.236505051095883,-0.14797168993825105,1.5641721188343622,0.5642633228840125,0.0008573252071815779,0.007858187268147491,-0.04996103803904389,0.049852217010838556,1.3015402129182234
Static 44.35% equity / 55.65% cash,STATIC_4435_EQUITY_5565_CASH,static_etf_cash_baseline,319,2024-11-27,2026-03-25,0.26461036541912764,0.20376753446655416,0.11064868692052966,1.731902699827698,2.2365050510958837,-0.13215395441908018,1.5418950977461974,0.5642633228840125,0.0007604474587700595,0.006970212106846827,-0.044315440740631935,0.0442189164886138,1.2646103654191276
Volatility-targeted equal-weight baseline,VOL_TARGET_EQUAL_WEIGHT,volatility_targeted_equal_weight_baseline,319,2024-11-27,2026-03-25,0.4011099149174373,0.3052943297261339,0.14855336033275046,1.8685069018031137,2.4558123530639966,-0.16733715376666258,1.8244264519512556,0.5642633228840125,0.0011014800756658299,0.009357982091986312,-0.05897045545918955,0.058842010858182844,1.4011099149174373
Drawdown-control equal-weight baseline,DRAWDOWN_CONTROL_EQUAL_WEIGHT,drawdown_control_equal_weight_baseline,319,2024-11-27,2026-03-25,0.5436873865748941,0.4091459602562504,0.19667175155456815,1.8433166232949927,2.530988884286147,-0.19725035652060885,2.074246999971848,0.5642633228840125,0.0014386044006868186,0.01238915582202067,-0.04516782325297383,0.041709326950130354,1.5436873865748941
