strategy_control,policy_name,control_type,n_days,start_date,end_date,total_return,annual_return,annual_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,hit_rate,avg_daily_return,daily_volatility,worst_daily_return,best_daily_return,final_equity,alpha_20d,alpha_60d,risk_aversion_mode,constant_average_U,constant_average_B,shuffle_probability_seed
AURORA10-UAMV-B original,AURORA16_MC_ORIGINAL_AURORA10_UAMV_B,aurora_mechanism_control,319,2024-11-27,2026-03-25,0.24322825817849147,0.18766026205292263,0.10372989778390321,1.7102868173400005,2.277956251675714,-0.11678757250401262,1.6068512944429507,0.567398119122257,0.0007039995108882357,0.0065343693585323305,-0.03995992271538621,0.039879797258058076,1.2432282581784915,0.3,0.7,dynamic,,,
Static 44.35% equity / 55.65% cash,MC_STATIC_4435_EQUITY_5565_CASH,static_exposure_matched_cash_baseline,319,2024-11-27,2026-03-25,0.26461036541912764,0.20376753446655416,0.11064868692052966,1.731902699827698,2.2365050510958837,-0.13215395441908018,1.5418950977461974,0.5642633228840125,0.0007604474587700595,0.006970212106846827,-0.044315440740631935,0.0442189164886138,1.2646103654191276,,,none_static,,,
Constant-average uncertainty AURORA,AURORA16_MC_CONSTANT_AVERAGE_UNCERTAINTY,aurora_mechanism_control,319,2024-11-27,2026-03-25,0.24323298063078092,0.1876638258963541,0.10372883012076307,1.7103322413661772,2.278141158933173,-0.11677578487660079,1.6070440125464545,0.567398119122257,0.000704010962360064,0.0065343021020763115,-0.0399598991001746,0.03987977469449848,1.243232980630781,0.3,0.7,constant_average,0.8144304695727809,0.18502491501810342,
20d-only AURORA,AURORA16_MC_20D_ONLY_DYNAMIC,aurora_mechanism_control,319,2024-11-27,2026-03-25,0.24185065490404534,0.1866205192239685,0.103415260193089,1.7067027613115093,2.269353782288194,-0.11672298024248895,1.5988327134577032,0.567398119122257,0.0007003932941797348,0.006514549053332166,-0.03995982527879716,0.039879496393143914,1.2418506549040453,1.0,0.0,dynamic,,,
60d-only AURORA,AURORA16_MC_60D_ONLY_DYNAMIC,aurora_mechanism_control,319,2024-11-27,2026-03-25,0.2443007733548177,0.18846957282964216,0.10398902537104893,1.7128370160197284,2.284336280727085,-0.11684215900079875,1.6130271337108189,0.567398119122257,0.0007068105234736002,0.0065506928621852775,-0.03995999071329852,0.039880012237456505,1.2443007733548177,0.0,1.0,dynamic,,,
Equal-blend AURORA,AURORA16_MC_EQUAL_BLEND_DYNAMIC,aurora_mechanism_control,319,2024-11-27,2026-03-25,0.24267971140507627,0.1872462766751879,0.10360103060810155,1.7089188092756349,2.2745748316792573,-0.1167615356076348,1.60366404656076,0.567398119122257,0.0007025624994703393,0.006526251489500654,-0.03995988822037077,0.039879680452074406,1.2426797114050763,0.5,0.5,dynamic,,,
Shuffled-probability AURORA mean,MC_SHUFFLED_PROBABILITIES_MEAN_SERIES,shuffled_probability_control_mean_series,319,2024-11-27,2026-03-25,0.24242321566596958,0.18705268751514303,0.10354384037240412,1.70822984960768,2.272941652828593,-0.11673379879264856,1.6023867076184184,0.567398119122257,0.0007018915828061647,0.0065226488432845444,-0.03995984007428019,0.0398796036212611,1.2424232156659696,0.3,0.7,dynamic,,,mean_of_seeds
Shuffled-probability AURORA seed 1000,AURORA16_MC_SHUFFLED_PROBABILITIES_SEED_1000,shuffled_probability_control,319,2024-11-27,2026-03-25,0.24227009312427117,0.1869371148719272,0.10351449662568686,1.7077436982916336,2.2718355634753538,-0.11672441318424909,1.6015254201950677,0.567398119122257,0.000701492973390267,0.006520800360990527,-0.03995983308810946,0.03987956731164858,1.2422700931242712,0.3,0.7,dynamic,,,1000
Shuffled-probability AURORA seed 1001,AURORA16_MC_SHUFFLED_PROBABILITIES_SEED_1001,shuffled_probability_control,319,2024-11-27,2026-03-25,0.24240097944391192,0.1870359044177794,0.10354402430845555,1.7080902843356183,2.272698866853445,-0.11672583511841639,1.602352248994703,0.567398119122257,0.0007018354838185872,0.006522660430166669,-0.039959820409495986,0.03987957659568923,1.242400979443912,0.3,0.7,dynamic,,,1001
Shuffled-probability AURORA seed 1002,AURORA16_MC_SHUFFLED_PROBABILITIES_SEED_1002,shuffled_probability_control,319,2024-11-27,2026-03-25,0.24205147681526795,0.18677210416601842,0.10347054926671848,1.7070807926441414,2.270408707290871,-0.11670799392263753,1.6003368568722416,0.567398119122257,0.0007009229653077557,0.006518031937595088,-0.03995983275740551,0.03987957868890793,1.242051476815268,0.3,0.7,dynamic,,,1002
Shuffled-probability AURORA seed 1003,AURORA16_MC_SHUFFLED_PROBABILITIES_SEED_1003,shuffled_probability_control,319,2024-11-27,2026-03-25,0.2426538536977787,0.1872267610517262,0.10360174536760237,1.7087488156644806,2.2742880577626683,-0.11674464544405483,1.6037288934287532,0.567398119122257,0.0007024974591177128,0.006526296515116996,-0.039959843284895394,0.03987962038792759,1.2426538536977787,0.3,0.7,dynamic,,,1003
Shuffled-probability AURORA seed 1004,AURORA16_MC_SHUFFLED_PROBABILITIES_SEED_1004,shuffled_probability_control,319,2024-11-27,2026-03-25,0.24253844615792564,0.1871396583184799,0.10356214741560565,1.7086540400687438,2.2738093774490524,-0.11674768295110749,1.6029410913178612,0.567398119122257,0.0007021900062693231,0.006523802078607216,-0.03995985296616685,0.03987962828956253,1.2425384461579256,0.3,0.7,dynamic,,,1004
Shuffled-probability AURORA seed 1005,AURORA16_MC_SHUFFLED_PROBABILITIES_SEED_1005,shuffled_probability_control,319,2024-11-27,2026-03-25,0.24233196042306204,0.18698381095158934,0.10352627091555508,1.70794142967969,2.272323263959605,-0.11672412182646619,1.6019294728948852,0.567398119122257,0.0007016539966544445,0.00652154207153471,-0.039959836498149805,0.03987960578889714,1.242331960423062,0.3,0.7,dynamic,,,1005
Shuffled-probability AURORA seed 1006,AURORA16_MC_SHUFFLED_PROBABILITIES_SEED_1006,shuffled_probability_control,319,2024-11-27,2026-03-25,0.24235062302282495,0.1869978969765147,0.10352007917374792,1.7081521119654495,2.2726208514775594,-0.11672877808230309,1.6019862457967844,0.567398119122257,0.0007016985788550318,0.006521152028463185,-0.03995983804468206,0.03987957903552516,1.242350623022825,0.3,0.7,dynamic,,,1006
Shuffled-probability AURORA seed 1007,AURORA16_MC_SHUFFLED_PROBABILITIES_SEED_1007,shuffled_probability_control,319,2024-11-27,2026-03-25,0.24245184032755351,0.18707429228306816,0.10354594053967112,1.7083732136574208,2.273236714328576,-0.1167352816842594,1.6025514273316162,0.567398119122257,0.0007019647269878498,0.006522781141386928,-0.03995983810467142,0.03987961789636526,1.2424518403275535,0.3,0.7,dynamic,,,1007
Shuffled-probability AURORA seed 1008,AURORA16_MC_SHUFFLED_PROBABILITIES_SEED_1008,shuffled_probability_control,319,2024-11-27,2026-03-25,0.242602391516209,0.1871879206739233,0.1035857387136391,1.7086809295615093,2.274039371207492,-0.1167433970216688,1.6034133445609713,0.567398119122257,0.0007023610171211764,0.006525288190695352,-0.03995984657552883,0.03987962388025415,1.242602391516209,0.3,0.7,dynamic,,,1008
